State,Deaths,Deaths(Male),Deaths(Female),Crude death rate,Crude death rate (Male),Crude death rate (Female)
Johor,"25,305","14,618","10,687",6.3,6.8,5.7
Kedah,"17,628","9,792","7,836",8.1,8.9,7.4
Kelantan,"13,445","7,411","6,034",7.3,8.1,6.6
Melaka,"6,630","3,669","2,961",6.6,6.9,6.2
Negeri Sembilan,"8,636","4,959","3,677",7.1,7.9,6.3
Pahang,"11,022","6,516","4,506",6.8,7.6,5.9
Perak,"22,341","12,641","9,700",8.9,9.7,8
Perlis,"2,422","1,348","1,074",8.4,9.3,7.4
Pulau Pinang,"12,920","7,338","5,582",7.4,8.2,6.6
Sabah,"17,395","10,084","7,311",5.1,5.7,4.5
Sarawak,"16,627","9,566","7,061",6.7,7.5,5.9
Selangor,"32,861","19,023","13,838",4.7,5.1,4.2
Terengganu,"8,686","4,762","3,924",7.3,7.8,6.8
W.P. Kuala Lumpur,"9,962","5,706","4,256",5.1,5.5,4.6
W.P. Labuan,392,218,174,4,4.4,3.7
W.P. Putrajaya,253,139,114,2.2,2.4,1.9